SourceId,RA,DEC,Flux,SpectralIndex
0,53.68068522423626,-36.576810022115055,0.005543556,-1.9053266550314523
1,53.664102375894956,-36.49904165825566,0.016501863,-1.1792364382403435
2,53.648965452743354,-36.60644472992827,0.027104499,-0.662780543617691
3,53.60704674164482,-36.89947365030508,0.01007617,0.24976962352166296
4,53.59537564055724,-36.03732454453561,0.0154754985,-1.1676749187387139
5,53.59626975218628,-36.072244661897365,0.0056773326,-2.6051364202397105
6,53.48380935082767,-36.973570014444554,0.029452546,-0.9962281626008805
7,53.26000445663455,-36.54773360715233,0.006014985,-1.4063424020105453
8,53.24532453622069,-36.538677180879404,0.0040083462,-1.4787631560540095
9,53.21096727777554,-36.28991651826408,0.019035297,-0.5578000761187795
10,53.11881021462159,-36.25811917793712,0.017016485,0.4814658818048792
11,52.90556567702521,-36.64774480798354,0.006336825,-0.5127225894685532
12,52.719246655717924,-36.28145438381031,0.026695888,-1.1372798595701132
13,52.709056638420535,-36.98014073235183,0.010167295,-1.2219472700170801
14,52.66780650767141,-36.72886104531989,0.011274425,-1.6495827441524233
15,52.6714137449314,-36.57538268608274,0.026809316,-0.9231410578772884
16,52.59814465988376,-36.87970935740201,0.011877301,-0.2900657648920675
